JD Mag MagErr Instrument Filter Name MJD Survey Name_upper
2453675.61 16.807 0.016 Swope u SN2005hk 53675.10999999987 CSP SN2005HK
2453682.58 16.307 0.014 Swope u SN2005hk 53682.080000000075 CSP SN2005HK
2453683.58 16.315 0.017 Swope u SN2005hk 53683.080000000075 CSP SN2005HK
2453684.62 16.36 0.018 Swope u SN2005hk 53684.12000000011 CSP SN2005HK
2453687.59 16.553 0.019 Swope u SN2005hk 53687.08999999985 CSP SN2005HK
2453689.66 16.792 0.024 Swope u SN2005hk 53689.16000000015 CSP SN2005HK
2453690.61 16.937 0.023 Swope u SN2005hk 53690.10999999987 CSP SN2005HK
2453694.65 17.658 0.026 Swope u SN2005hk 53694.14999999991 CSP SN2005HK
2453695.64 17.855 0.029 Swope u SN2005hk 53695.14000000013 CSP SN2005HK
2453698.59 18.384 0.041 Swope u SN2005hk 53698.08999999985 CSP SN2005HK
2453699.62 18.721 0.056 Swope u SN2005hk 53699.12000000011 CSP SN2005HK
2453702.63 19.123 0.066 Swope u SN2005hk 53702.12999999989 CSP SN2005HK
2453706.66 19.572 0.067 Swope u SN2005hk 53706.16000000015 CSP SN2005HK
2453712.57 19.932 0.123 Swope u SN2005hk 53712.06999999983 CSP SN2005HK
2453725.6 20.303 0.117 Swope u SN2005hk 53725.10000000009 CSP SN2005HK
2453730.62 20.437 0.121 Swope u SN2005hk 53730.12000000011 CSP SN2005HK
2453736.56 20.56 0.071 Swope u SN2005hk 53736.060000000056 CSP SN2005HK
2453739.56 20.425 0.085 Swope u SN2005hk 53739.060000000056 CSP SN2005HK
2453675.61 16.83 0.009 Swope B SN2005hk 53675.10999999987 CSP SN2005HK
2453682.58 15.978 0.006 Swope B SN2005hk 53682.080000000075 CSP SN2005HK
2453683.58 15.93 0.006 Swope B SN2005hk 53683.080000000075 CSP SN2005HK
2453684.62 15.92 0.007 Swope B SN2005hk 53684.12000000011 CSP SN2005HK
2453687.59 15.961 0.007 Swope B SN2005hk 53687.08999999985 CSP SN2005HK
2453689.66 16.118 0.009 Swope B SN2005hk 53689.16000000015 CSP SN2005HK
2453690.61 16.185 0.008 Swope B SN2005hk 53690.10999999987 CSP SN2005HK
2453694.65 16.688 0.009 Swope B SN2005hk 53694.14999999991 CSP SN2005HK
2453695.64 16.829 0.008 Swope B SN2005hk 53695.14000000013 CSP SN2005HK
2453698.59 17.286 0.009 Swope B SN2005hk 53698.08999999985 CSP SN2005HK
2453699.62 17.428 0.009 Swope B SN2005hk 53699.12000000011 CSP SN2005HK
2453702.63 17.793 0.014 Swope B SN2005hk 53702.12999999989 CSP SN2005HK
