Name MJD Filter Mag MagErr Survey Name_upper Name_alt Type Instrument
SN2005hk 53675.10999999987 u 16.807 0.016 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53682.080000000075 u 16.307 0.014 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53683.080000000075 u 16.315 0.017 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53684.12000000011 u 16.36 0.018 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53687.08999999985 u 16.553 0.019 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53689.16000000015 u 16.792 0.024 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53690.10999999987 u 16.937 0.023 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53694.14999999991 u 17.658 0.026 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53695.14000000013 u 17.855 0.029 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53698.08999999985 u 18.384 0.041 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53699.12000000011 u 18.721 0.056 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53702.12999999989 u 19.123 0.066 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53706.16000000015 u 19.572 0.067 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53712.06999999983 u 19.932 0.123 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53725.10000000009 u 20.303 0.117 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53730.12000000011 u 20.437 0.121 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53736.060000000056 u 20.56 0.071 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53739.060000000056 u 20.425 0.085 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53675.10999999987 B 16.83 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53682.080000000075 B 15.978 0.006 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53683.080000000075 B 15.93 0.006 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53684.12000000011 B 15.92 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53687.08999999985 B 15.961 0.007 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53689.16000000015 B 16.118 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53690.10999999987 B 16.185 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53694.14999999991 B 16.688 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53695.14000000013 B 16.829 0.008 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53698.08999999985 B 17.286 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53699.12000000011 B 17.428 0.009 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53702.12999999989 B 17.793 0.014 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53706.16000000015 B 18.166 0.015 CSP SN2005HK SN2005hk "" Swope
SN2005hk 53712.06999999983 B 18.429 0.018 CSP SN2005HK SN2005hk "" Swope
